Role,Choice,Round,Subj
1,1,4,45
1,0,5,45
1,1,6,45
1,1,7,45
0,0,1,45
0,0,2,45
0,0,3,45
0,0,1,46
0,0,2,46
0,0,3,46
0,0,4,46
0,0,5,46
0,0,6,46
0,0,7,46
1,1,1,46
1,1,2,46
1,0,3,46
1,0,4,46
1,0,5,46
1,0,6,46
1,0,7,46
1,0,8,46
1,0,1,46
1,0,2,46
1,0,3,46
1,0,4,46
1,0,5,46
1,0,6,46
0,0,1,46
0,1,2,46
0,0,3,46
0,0,1,47
0,1,2,47
0,1,3,47
0,1,4,47
0,1,5,47
1,1,1,47
1,1,2,47
1,0,3,47
1,0,4,47
1,0,5,47
1,0,6,47
1,0,7,47
1,0,8,47
1,0,1,47
1,0,2,47
1,0,3,47
0,1,1,47
0,1,2,47
0,0,3,47
0,0,4,47
0,1,5,47
0,1,6,47
0,0,7,47
1,0,1,48
1,0,2,48
1,0,3,48
1,0,4,48
1,0,5,48
1,0,6,48
0,1,1,48
0,1,2,48
0,1,3,48
0,1,4,48
0,1,5,48
0,1,6,48
0,1,1,48
0,1,2,48
0,1,3,48
0,1,4,48
1,0,1,48
1,0,2,48
1,0,3,48
1,0,4,48
1,0,5,48
1,0,6,48
1,0,7,48
0,1,1,49
0,1,2,49
0,1,3,49
0,1,4,49
0,1,5,49
0,1,6,49
0,1,7,49
0,0,1,49
0,1,2,49
0,1,3,49
0,1,4,49
1,1,1,49
1,0,2,49
1,0,3,49
1,0,4,49
1,0,5,49
1,0,6,49
1,0,1,49
1,0,2,49
1,0,3,49
1,0,4,49
1,0,5,49
1,0,6,49
0,0,1,50
0,0,2,50
0,0,3,50
0,0,4,50
0,0,5,50
1,0,1,50
1,0,2,50
1,0,3,50
1,0,4,50
1,0,5,50
1,0,6,50
1,0,7,50
0,0,1,50
0,0,2,50
0,0,3,50
1,0,1,50
1,0,2,50
1,0,3,50
1,0,4,50
1,0,5,50
1,0,6,50
1,0,7,50
0,0,1,51
0,0,2,51
0,1,3,51
0,1,4,51
0,1,5,51
0,1,6,51
1,0,1,51
1,0,2,51
1,0,3,51
1,0,4,51
1,0,5,51
1,0,6,51
1,0,7,51
0,1,1,51
0,1,2,51
0,1,3,51
0,0,4,51
0,0,5,51
0,0,6,51
1,0,1,51
1,0,2,51
1,0,3,51
1,0,4,51
1,0,5,51
1,0,6,51
0,0,1,52
0,0,2,52
0,0,3,52
0,0,4,52
0,0,1,52
0,0,2,52
0,0,3,52
0,0,4,52
0,1,5,52
0,0,6,52
0,0,7,52
1,1,1,52
1,1,2,52
1,1,3,52
1,1,4,52
1,1,1,52
1,1,2,52
1,1,3,52
1,1,4,52
1,1,5,52
1,1,6,52
1,1,7,52
1,1,1,53
1,1,2,53
1,0,3,53
1,0,1,53
1,0,2,53
1,0,3,53
1,0,4,53
0,1,1,53
0,1,2,53
0,1,3,53
0,1,4,53
0,1,1,53
0,1,2,53
0,1,3,53
0,1,4,53
0,1,5,53
0,1,6,53
1,1,1,54
1,1,2,54
1,0,3,54
1,0,4,54
1,0,5,54
1,0,6,54
1,0,7,54
1,1,1,54
1,0,2,54
1,0,3,54
1,0,4,54
1,0,5,54
1,0,6,54
1,0,7,54
0,0,1,54
0,0,2,54
0,0,3,54
0,0,4,54
0,0,5,54
0,0,6,54
0,0,7,54
0,0,8,54
0,0,1,54
0,1,2,54
0,0,3,54
0,0,4,54
0,0,5,54
0,0,6,54
0,0,7,54
1,1,1,55
1,1,2,55
1,1,3,55
1,1,4,55
1,1,5,55
1,1,6,55
1,1,7,55
0,1,1,55
0,0,2,55
0,1,3,55
1,0,1,55
1,0,2,55
1,0,3,55
1,0,4,55
1,1,5,55
1,0,6,55
1,1,7,55
1,0,8,55
0,0,1,55
0,1,2,55
0,0,3,55
0,1,4,55
0,1,5,55
1,0,1,56
1,0,2,56
1,0,3,56
1,0,4,56
1,0,5,56
1,0,1,56
1,0,2,56
1,0,3,56
1,0,4,56
1,0,5,56
0,1,1,56
0,1,2,56
0,1,3,56
0,1,4,56
0,1,5,56
0,1,1,56
0,1,2,56
0,1,3,56
0,1,4,56
0,1,5,56
0,1,6,56
0,1,7,56
1,1,1,57
1,0,2,57
1,0,3,57
1,0,4,57
1,0,5,57
1,0,6,57
1,0,7,57
0,1,1,57
0,1,2,57
0,1,3,57
0,1,4,57
0,1,5,57
0,1,6,57
0,1,7,57
0,1,8,57
0,1,1,57
0,1,2,57
0,1,3,57
0,1,4,57
0,1,5,57
0,1,6,57
1,0,1,57
1,0,2,57
1,0,3,57
1,0,4,57
0,1,1,58
0,0,2,58
0,1,3,58
0,0,4,58
0,0,5,58
0,0,6,58
0,1,1,58
0,1,2,58
0,1,3,58
0,1,4,58
0,1,5,58
0,1,6,58
1,1,1,58
1,1,2,58
1,1,3,58
1,1,4,58
1,1,5,58
1,1,1,58
1,1,2,58
1,0,3,58
1,1,4,58
1,1,5,58
1,1,6,58
1,1,7,58
1,1,8,58
1,1,1,59
1,1,2,59
1,1,3,59
0,0,1,59
0,0,2,59
0,0,3,59
0,0,4,59
1,1,1,59
1,1,2,59
1,1,3,59
1,1,4,59
1,1,5,59
1,1,6,59
1,1,7,59
0,1,1,59
0,1,2,59
0,1,3,59
0,1,4,59
0,0,5,59
0,1,1,60
0,1,2,60
0,1,3,60
0,1,4,60
0,1,5,60
0,1,6,60
1,0,1,60
1,0,2,60
1,0,3,60
1,0,4,60
1,0,5,60
1,0,6,60
1,0,7,60
1,0,8,60
0,1,1,60
0,1,2,60
0,1,3,60
0,1,4,60
1,0,1,60
1,0,2,60
1,0,3,60
1,1,1,61
1,1,2,61
1,1,3,61
1,0,4,61
1,0,5,61
1,0,6,61
1,0,7,61
1,0,1,61
1,0,2,61
1,1,3,61
1,0,4,61
1,0,5,61
1,0,6,61
0,1,1,61
0,0,2,61
0,0,3,61
0,1,4,61
0,0,1,61
0,1,2,61
0,0,3,61
0,0,4,61
0,1,5,61
0,1,1,62
0,1,2,62
0,1,3,62
0,1,4,62
0,1,5,62
0,1,6,62
1,0,1,62
1,0,2,62
1,0,3,62
1,0,4,62
1,0,5,62
1,0,6,62
1,0,7,62
1,0,8,62
0,1,1,62
0,1,2,62
0,1,3,62
1,1,1,62
1,0,2,62
1,0,3,62
1,0,4,62
1,0,5,62
1,0,6,62
0,0,1,63
0,1,2,63
0,0,3,63
0,0,4,63
0,1,5,63
0,0,6,63
0,0,7,63
1,1,1,63
1,1,2,63
1,1,3,63
1,1,4,63
1,1,5,63
1,1,6,63
1,1,7,63
1,1,8,63
1,1,1,63
1,1,2,63
1,1,3,63
1,1,4,63
1,1,5,63
0,0,1,63
0,0,2,63
0,0,3,63
0,0,4,63
0,0,1,64
0,1,2,64
0,0,3,64
0,0,4,64
1,1,1,64
1,1,2,64
1,1,3,64
1,1,4,64
1,1,1,64
1,0,2,64
1,0,3,64
1,0,4,64
1,0,5,64
1,0,6,64
0,0,1,64
0,1,2,64
0,1,3,64
0,1,4,64
0,0,5,64
0,1,6,64
0,0,1,65
0,1,2,65
0,1,3,65
0,1,4,65
0,1,5,65
0,1,6,65
0,0,7,65
0,1,1,65
0,0,2,65
0,1,3,65
0,1,4,65
0,0,5,65
0,1,6,65
0,1,7,65
1,0,1,65
1,0,2,65
1,0,3,65
1,0,4,65
1,0,1,65
1,0,2,65
1,0,3,65
1,0,4,65
1,0,5,65
1,1,1,66
1,1,2,66
1,1,3,66
1,1,4,66
1,1,5,66
1,1,6,66
1,1,7,66
1,1,8,66
1,1,1,66
1,1,2,66
1,1,3,66
1,1,4,66
0,0,1,66
0,0,2,66
0,0,3,66
0,0,4,66
0,0,5,66
0,0,6,66
0,0,1,66
0,0,2,66
0,0,3,66
0,0,4,66
0,0,5,66
1,0,1,67
1,0,2,67
1,1,3,67
1,0,4,67
1,0,5,67
1,0,6,67
1,0,1,67
1,0,2,67
1,0,3,67
1,0,4,67
1,0,5,67
1,0,6,67
1,0,7,67
1,0,8,67
0,1,1,67
0,1,2,67
0,1,3,67
0,1,1,67
0,1,2,67
0,0,3,67
0,1,4,67
0,0,5,67
1,1,1,68
1,0,2,68
1,0,3,68
1,0,4,68
1,0,1,68
1,0,2,68
1,0,3,68
1,0,4,68
1,0,5,68
1,0,6,68
1,0,7,68
0,1,1,68
0,1,2,68
0,1,3,68
0,0,4,68
0,0,5,68
0,1,1,68
0,1,2,68
0,0,3,68
0,0,4,68
0,0,5,68
0,0,6,68
0,0,7,68
0,0,1,69
0,0,2,69
0,0,3,69
0,0,4,69
1,0,1,69
1,0,2,69
1,1,3,69
1,0,4,69
1,0,5,69
0,0,1,69
0,0,2,69
0,0,3,69
1,0,1,69
1,0,2,69
1,1,3,69
1,0,1,70
1,0,2,70
1,1,3,70
1,0,4,70
1,0,5,70
1,0,6,70
1,0,7,70
1,0,8,70
0,0,1,70
0,1,2,70
0,1,3,70
0,0,1,70
0,0,2,70
0,1,3,70
1,0,1,70
1,0,2,70
1,1,3,70
1,0,4,70
1,0,5,70
1,0,6,70
0,1,1,71
0,0,2,71
0,1,3,71
0,1,4,71
1,1,1,71
1,1,2,71
1,0,3,71
1,0,4,71
1,0,5,71
0,1,1,71
0,1,2,71
0,1,3,71
1,0,1,71
1,0,2,71
1,0,3,71
1,0,4,71
1,0,5,71
0,1,1,72
0,1,2,72
0,1,3,72
0,1,4,72
0,1,5,72
0,1,6,72
0,1,7,72
0,1,1,72
0,1,2,72
0,1,3,72
1,0,1,72
1,0,2,72
1,0,3,72
1,0,4,72
1,0,1,72
1,0,2,72
1,0,3,72
1,0,4,72
1,0,5,72
1,0,6,72
1,0,7,72
0,0,1,73
0,0,2,73
0,0,3,73
0,0,4,73
0,0,1,73
0,0,2,73
0,0,3,73
0,0,4,73
0,0,5,73
0,0,6,73
1,1,1,73
1,1,2,73
1,1,3,73
1,1,4,73
1,1,5,73
1,1,6,73
1,1,7,73
1,1,8,73
1,1,1,73
1,1,2,73
1,1,3,73
1,1,4,73
1,1,5,73
1,1,6,73
1,1,7,73
1,1,8,73
1,0,1,74
1,0,2,74
1,0,3,74
0,0,1,74
0,0,2,74
0,0,3,74
0,0,4,74
0,0,1,74
0,0,2,74
0,0,3,74
0,1,4,74
0,1,5,74
0,1,6,74
1,0,1,74
1,1,2,74
1,0,3,74
1,0,4,74
1,0,5,74
1,0,5,74
1,1,6,74
1,0,7,74
0,0,1,75
0,0,2,75
