0.0 0.0,0.0 10.0,10.0 0.0,10.0 10.0,other
4.23516494109e-22,1.0,4.23516480456e-22,4.23516480461e-22,0.0
2.11758247055e-22,1.0,2.11758240228e-22,2.11758240231e-22,0.0
1.05879123527e-22,1.0,1.05879120114e-22,1.05879120115e-22,0.0
5.29395617637e-23,1.0,5.2939560057e-23,5.29395600577e-23,0.0
2.64697808818e-23,1.0,2.64697800285e-23,2.64697800288e-23,0.0
1.32348904409e-23,1.0,1.32348900143e-23,1.32348900144e-23,0.0
6.61744522046e-24,1.0,6.61744500713e-24,6.61744500721e-24,0.0
3.30872261023e-24,1.0,3.30872250356e-24,3.3087225036e-24,0.0
1.65436130511e-24,1.0,1.65436125178e-24,1.6543612518e-24,0.0
8.27180652557e-25,1.0,8.27180625891e-25,8.27180625901e-25,0.0
4.13590326279e-25,1.0,4.13590312946e-25,4.13590312951e-25,0.0
2.06795163139e-25,1.0,2.06795156473e-25,2.06795156475e-25,0.0
1.0339758157e-25,1.0,1.03397578236e-25,1.03397578238e-25,0.0
5.16987907848e-26,1.0,5.16987891182e-26,5.16987891188e-26,0.0
2.58493953924e-26,1.0,2.58493945591e-26,2.58493945594e-26,0.0
1.29246976962e-26,1.0,1.29246972795e-26,1.29246972797e-26,0.0
6.4623488481e-27,1.0,6.46234863977e-27,6.46234863985e-27,0.0
3.23117442405e-27,1.0,3.23117431989e-27,3.23117431993e-27,0.0
1.61558721203e-27,1.0,1.61558715994e-27,1.61558715996e-27,0.0
8.07793606013e-28,1.0,8.07793579972e-28,8.07793579982e-28,0.0
4.03896803006e-28,1.0,4.03896789986e-28,4.03896789991e-28,0.0
2.01948401503e-28,1.0,2.01948394993e-28,2.01948394995e-28,0.0
1.00974200752e-28,1.0,1.00974197496e-28,1.00974197498e-28,0.0
5.04871003758e-29,1.0,5.04870987482e-29,5.04870987489e-29,0.0
2.52435501879e-29,1.0,2.52435493741e-29,2.52435493744e-29,0.0
1.26217750939e-29,1.0,1.26217746871e-29,1.26217746872e-29,0.0
6.31088754697e-30,1.0,6.31088734353e-30,6.31088734361e-30,0.0
3.15544377349e-30,1.0,3.15544367176e-30,3.1554436718e-30,0.0
1.57772188674e-30,1.0,1.57772183588e-30,1.5777218359e-30,0.0
7.88860943372e-31,1.0,7.88860917941e-31,7.88860917951e-31,0.0
3.94430471686e-31,1.0,3.94430458971e-31,3.94430458975e-31,0.0
1.97215235843e-31,1.0,1.97215229485e-31,1.97215229488e-31,0.0
9.86076179215e-32,1.0,9.86076147426e-32,9.86076147439e-32,0.0
4.93038089607e-32,1.0,4.93038073713e-32,4.93038073719e-32,0.0
2.46519044804e-32,1.0,2.46519036857e-32,2.4651903686e-32,0.0
1.23259522402e-32,1.0,1.23259518428e-32,1.2325951843e-32,0.0
6.16297612009e-33,1.0,6.16297592142e-33,6.16297592149e-33,0.0
3.08148806005e-33,1.0,3.08148796071e-33,3.08148796075e-33,0.0
1.54074403002e-33,1.0,1.54074398035e-33,1.54074398037e-33,0.0
7.70372015012e-34,1.0,7.70371990177e-34,7.70371990186e-34,0.0
3.85186007506e-34,1.0,3.85185995088e-34,3.85185995093e-34,0.0
1.92593003753e-34,1.0,1.92592997544e-34,1.92592997547e-34,0.0
9.62965018764e-35,1.0,9.62964987721e-35,9.62964987733e-35,0.0
4.81482509382e-35,1.0,4.81482493861e-35,4.81482493866e-35,0.0
2.40741254691e-35,1.0,2.4074124693e-35,2.40741246933e-35,0.0
