0.0 0.0,LSAPT,ASLP,10.0 10.0,other
2.45E-66,1,2.40E-66,2.40E-66,0
1.22E-66,1,1.20E-66,1.20E-66,0
6.12E-67,1,6.00E-67,6.00E-67,0
3.06E-67,1,3.00E-67,3.00E-67,0
1.53E-67,1,1.50E-67,1.50E-67,0
7.65E-68,1,7.49E-68,7.49E-68,0
3.82E-68,1,3.75E-68,3.75E-68,0
1.91E-68,1,1.87E-68,1.87E-68,0
9.56E-69,1,9.37E-69,9.37E-69,0
4.78E-69,1,4.68E-69,4.68E-69,0
2.39E-69,1,2.34E-69,2.34E-69,0
1.19E-69,1,1.17E-69,1.17E-69,0
5.97E-70,1,5.85E-70,5.85E-70,0
2.99E-70,1,2.93E-70,2.93E-70,0
1.49E-70,1,1.46E-70,1.46E-70,0
7.47E-71,1,7.32E-71,7.32E-71,0
3.73E-71,1,3.66E-71,3.66E-71,0
1.87E-71,1,1.83E-71,1.83E-71,0
9.33E-72,1,9.15E-72,9.15E-72,0
4.67E-72,1,4.57E-72,4.57E-72,0
2.33E-72,1,2.29E-72,2.29E-72,0
1.17E-72,1,1.14E-72,1.14E-72,0
5.83E-73,1,5.72E-73,5.72E-73,0
2.92E-73,1,2.86E-73,2.86E-73,0
1.46E-73,1,1.43E-73,1.43E-73,0
7.29E-74,1,7.15E-74,7.15E-74,0
3.65E-74,1,3.57E-74,3.57E-74,0
1.82E-74,1,1.79E-74,1.79E-74,0
9.11E-75,1,8.93E-75,8.93E-75,0
4.56E-75,1,4.47E-75,4.47E-75,0
2.28E-75,1,2.23E-75,2.23E-75,0
1.14E-75,1,1.12E-75,1.12E-75,0
5.70E-76,1,5.58E-76,5.58E-76,0
2.85E-76,1,2.79E-76,2.79E-76,0
1.42E-76,1,1.40E-76,1.40E-76,0
7.12E-77,1,6.98E-77,6.98E-77,0
3.56E-77,1,3.49E-77,3.49E-77,0
1.78E-77,1,1.74E-77,1.74E-77,0
8.90E-78,1,8.72E-78,8.72E-78,0
4.45E-78,1,4.36E-78,4.36E-78,0
2.23E-78,1,2.18E-78,2.18E-78,0
1.11E-78,1,1.09E-78,1.09E-78,0
5.56E-79,1,5.45E-79,5.45E-79,0
2.78E-79,1,2.73E-79,2.73E-79,0
1.39E-79,1,1.36E-79,1.36E-79,0
6.95E-80,1,6.82E-80,6.82E-80,0
3.48E-80,1,3.41E-80,3.41E-80,0
1.74E-80,1,1.70E-80,1.70E-80,0
8.69E-81,1,8.52E-81,8.52E-81,0
4.35E-81,1,4.26E-81,4.26E-81,0
2.17E-81,1,2.13E-81,2.13E-81,0
1.09E-81,1,1.06E-81,1.06E-81,0
5.43E-82,1,5.32E-82,5.32E-82,0
2.72E-82,1,2.66E-82,2.66E-82,0
1.36E-82,1,1.33E-82,1.33E-82,0
6.79E-83,1,6.66E-83,6.66E-83,0
3.40E-83,1,3.33E-83,3.33E-83,0
1.70E-83,1,1.66E-83,1.66E-83,0
8.49E-84,1,8.32E-84,8.32E-84,0
4.24E-84,1,4.16E-84,4.16E-84,0
2.12E-84,1,2.08E-84,2.08E-84,0
1.06E-84,1,1.04E-84,1.04E-84,0
5.31E-85,1,5.20E-85,5.20E-85,0
2.65E-85,1,2.60E-85,2.60E-85,0
1.33E-85,1,1.30E-85,1.30E-85,0
6.63E-86,1,6.50E-86,6.50E-86,0
3.32E-86,1,3.25E-86,3.25E-86,0
1.66E-86,1,1.63E-86,1.63E-86,0
8.29E-87,1,8.13E-87,8.13E-87,0
4.14E-87,1,4.06E-87,4.06E-87,0
2.07E-87,1,2.03E-87,2.03E-87,0
1.04E-87,1,1.02E-87,1.02E-87,0
5.18E-88,1,5.08E-88,5.08E-88,0
2.59E-88,1,2.54E-88,2.54E-88,0
1.30E-88,1,1.27E-88,1.27E-88,0
6.48E-89,1,6.35E-89,6.35E-89,0
3.24E-89,1,3.17E-89,3.17E-89,0
1.62E-89,1,1.59E-89,1.59E-89,0
8.09E-90,1,7.93E-90,7.93E-90,0
4.05E-90,1,3.97E-90,3.97E-90,0
2.02E-90,1,1.98E-90,1.98E-90,0
1.01E-90,1,9.92E-91,9.92E-91,0
5.06E-91,1,4.96E-91,4.96E-91,0
2.53E-91,1,2.48E-91,2.48E-91,0
1.26E-91,1,1.24E-91,1.24E-91,0
6.32E-92,1,6.20E-92,6.20E-92,0
3.16E-92,1,3.10E-92,3.10E-92,0
1.58E-92,1,1.55E-92,1.55E-92,0
7.91E-93,1,7.75E-93,7.75E-93,0
3.95E-93,1,3.87E-93,3.87E-93,0
1.98E-93,1,1.94E-93,1.94E-93,0
9.88E-94,1,9.69E-94,9.69E-94,0
4.94E-94,1,4.84E-94,4.84E-94,0
2.47E-94,1,2.42E-94,2.42E-94,0
1.24E-94,1,1.21E-94,1.21E-94,0
6.18E-95,1,6.05E-95,6.05E-95,0
3.09E-95,1,3.03E-95,3.03E-95,0
1.54E-95,1,1.51E-95,1.51E-95,0
7.72E-96,1,7.57E-96,7.57E-96,0
3.86E-96,1,3.78E-96,3.78E-96,0
1.93E-96,1,1.89E-96,1.89E-96,0
9.65E-97,1,9.46E-97,9.46E-97,0
4.82E-97,1,4.73E-97,4.73E-97,0
2.41E-97,1,2.36E-97,2.36E-97,0
1.21E-97,1,1.18E-97,1.18E-97,0
6.03E-98,1,5.91E-98,5.91E-98,0
3.02E-98,1,2.96E-98,2.96E-98,0
1.51E-98,1,1.48E-98,1.48E-98,0
7.54E-99,1,7.39E-99,7.39E-99,0
3.77E-99,1,3.69E-99,3.69E-99,0
1.88E-99,1,1.85E-99,1.85E-99,0
9.42E-100,1,9.24E-100,9.24E-100,0
4.71E-100,1,4.62E-100,4.62E-100,0
2.36E-100,1,2.31E-100,2.31E-100,0
1.18E-100,1,1.15E-100,1.15E-100,0
5.89E-101,1,5.77E-101,5.77E-101,0
2.94E-101,1,2.89E-101,2.89E-101,0
1.47E-101,1,1.44E-101,1.44E-101,0
7.36E-102,1,7.22E-102,7.22E-102,0
3.68E-102,1,3.61E-102,3.61E-102,0
1.84E-102,1,1.80E-102,1.80E-102,0
9.20E-103,1,9.02E-103,9.02E-103,0
4.60E-103,1,4.51E-103,4.51E-103,0
2.30E-103,1,2.26E-103,2.26E-103,0
1.15E-103,1,1.13E-103,1.13E-103,0
5.75E-104,1,5.64E-104,5.64E-104,0
2.88E-104,1,2.82E-104,2.82E-104,0
1.44E-104,1,1.41E-104,1.41E-104,0
7.19E-105,1,7.05E-105,7.05E-105,0
3.59E-105,1,3.52E-105,3.52E-105,0
1.80E-105,1,1.76E-105,1.76E-105,0
8.99E-106,1,8.81E-106,8.81E-106,0
4.49E-106,1,4.40E-106,4.40E-106,0
2.25E-106,1,2.20E-106,2.20E-106,0
1.12E-106,1,1.10E-106,1.10E-106,0
5.62E-107,1,5.51E-107,5.51E-107,0
2.81E-107,1,2.75E-107,2.75E-107,0
1.40E-107,1,1.38E-107,1.38E-107,0
7.02E-108,1,6.88E-108,6.88E-108,0
3.51E-108,1,3.44E-108,3.44E-108,0
1.76E-108,1,1.72E-108,1.72E-108,0
8.78E-109,1,8.60E-109,8.60E-109,0
4.39E-109,1,4.30E-109,4.30E-109,0
2.19E-109,1,2.15E-109,2.15E-109,0
1.10E-109,1,1.08E-109,1.08E-109,0
5.49E-110,1,5.38E-110,5.38E-110,0
2.74E-110,1,2.69E-110,2.69E-110,0
1.37E-110,1,1.34E-110,1.34E-110,0
6.86E-111,1,6.72E-111,6.72E-111,0
3.43E-111,1,3.36E-111,3.36E-111,0
1.71E-111,1,1.68E-111,1.68E-111,0
8.57E-112,1,8.40E-112,8.40E-112,0
4.29E-112,1,4.20E-112,4.20E-112,0
2.14E-112,1,2.10E-112,2.10E-112,0
1.07E-112,1,1.05E-112,1.05E-112,0
5.36E-113,1,5.25E-113,5.25E-113,0
2.68E-113,1,2.63E-113,2.63E-113,0
1.34E-113,1,1.31E-113,1.31E-113,0
6.70E-114,1,6.56E-114,6.56E-114,0
3.35E-114,1,3.28E-114,3.28E-114,0
1.67E-114,1,1.64E-114,1.64E-114,0
