id,datestamp,timestamp,version,order,behavior,opponent,reply,payoff,rt,score,met,condition
A1KUJJ0EDGYB61_m4,11/7/2013,20:41:22,lit1p1,22,2,2nopun,0,0,4389,496,2,0
A2I9Y7R8F4J7K2_m4,11/7/2013,20:41:23,lit1p1,17,2,3pun,0,0,4999,512,3,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:41:24,lit1p1,1,1,7nopun,0,1,10870,501,1,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:41:28,lit1p1,23,1,2nopun,0,1,4518,497,3,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:41:31,lit1p1,3,1,7nopun,0,1,5973,503,3,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:41:34,lit1p1,24,1,2nopun,0,1,5190,498,4,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:41:38,lit1p1,4,1,7nopun,0,1,4766,504,4,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:41:39,lit1p1,25,1,2nopun,0,1,4092,499,5,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:41:44,lit1p1,26,2,2nopun,0,0,4155,499,6,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:41:49,lit1p1,27,2,2nopun,0,0,4094,499,7,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:41:50,lit1p1,5,1,7nopun,0,1,5392,505,5,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:41:54,lit1p1,28,1,2nopun,0,1,4319,500,8,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:41:57,lit1p1,6,1,7nopun,0,1,5023,506,6,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:41:59,lit1p1,29,1,4pun,-2,1,4359,499,1,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:42:05,lit1p1,30,1,4pun,-2,1,4139,498,2,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:42:06,lit1p1,7,2,7nopun,0,0,6773,506,7,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:42:10,lit1p1,31,2,3pun,0,0,4074,498,1,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:42:13,lit1p1,8,1,7nopun,0,1,5025,507,8,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:42:15,lit1p1,32,2,3pun,0,0,4213,498,2,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:42:19,lit1p1,33,1,3pun,-2,1,4101,497,3,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:42:19,lit1p1,9,1,7nopun,0,1,4721,508,9,0
A1KUJJ0EDGYB61_m4,11/7/2013,20:42:24,lit1p1,34,1,3pun,-2,1,4005,496,4,0
"A1FBK4DPFCXX2		_m4",11/7/2013,20:42:28,lit1p1,10,1,7nopun,0,1,7398,509,10,0
